2022-09-11 15:09:779 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:488 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:599 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:183 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:308 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:871 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:998 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:658 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:764 INFO  StartPage :65 - get Text From Help With nhs CostsProxy element for: DefaultElementLocator 'By.xpath: (//*[@id="result-heading"]/text())[2]'
2022-09-11 15:09:139 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 15:09:748 INFO  StartPage :70 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (d2b7f5e54111a1563184cb01f760a56d)] -> id: nhsuk-cookie-banner__link_accept_analytics]
